Unnamed: 0,adverse weather,capsized,coastal isolation,collision,discharge of contaminated water,disruption,drifting,drunken driving,engine damage,engine failure,exceeding capacity,explosion,fire,flooding,inspection,maritime safety threat,mechanical defects,minor contact,missing,nuclear,nuclear power plants,oil spill,overloading,overturning,prevention,radiation,rescue,safety measures,search and rescue operations,seizure,steering system damage,stranded,violating crew standards,war,injured,deaths,Overall Severity,Severity Level
Article 159,0,0,0,0,0.213411355,0,0,0,0.031839492,0,0,0,0,0,0.010597461,0.022034117,0,0,0,0.146208424,0.187889252,0,0,0,0,0.012803903,0,0.033709365,0,0,0.026727122,0,0,0,,,0.843105365,medium
Article 160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017907,0,0,0,0,0,0,0,0,0,0,0,0.001771759,0.004491599,0,0,0,0.007850709,0,,,0.101541273,low
Article 161,0.011349519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003721776,0,0,0,0,0,0,0,0,0,0,0,0.003682409,0,0,0,0,0.028613908,0,,,0.136567567,low
Article 162,0.02160716,0,0,0.024965221,0,0,0,0,0,0,0,0,0,0.066654299,0.01357198,0.024675952,0,0,0,0,0,0,0,0.046837269,0,0,0.025744071,0.028596045,0.022741898,0,0,0,0,0,,,0.52402209,medium
Article 163,0,0,0,0,0.096051407,0,0,0,0,0,0,0,0,0,0,0.020186748,0,0,0,0.071129274,0.133699659,0,0,0,0,0,0,0.019973222,0,0,0,0,0,0,,,0.486979759,medium
Article 164,0,0,0.009387307,0,0,0,0,0,0.076393941,0,0,0,0,0,0,0.002212436,0,0,0,0,0,0,0,0,0,0,0,0.01601497,0,0,0.064127599,0,0,0,,,0.236591279,medium
Article 165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,2,high
Article 166,0.008015044,0,0,0,0,0,0,0.04023487,0,0.020101822,0,0,0,0,0,0.059902591,0,0,0,0,0,0,0,0,0,0,0.019099213,0.036818189,0.009833519,0,0,0,0,0,,4,4.429917218,high
Article 167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011295412,0,0,0,0,0,0,0,0,0,0,0,0.011175934,0,0,0,0,0,0,,,0.088376352,low
Article 168,0,0,0,0,0,0,0,0.011940732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012646232,0,0,0,0,0,0,,,0.052812902,low
Article 169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006484065,0,0,0,0,0,,,0.006484065,low
Article 170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131889856,0.060805499,0,0,0,0,0,0,0,0,0.017606463,0,0,0.037848435,0,0,0,0,0,0,,,0.436457781,medium
Article 171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050265098,0,0,0.064476123,0,0,0,0,0,0,0,0.010854073,0.030024515,0.045587682,0,0,0,0.008015315,0,,269,269.3672219,high
Article 172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,2,high
Article 173,0,0,0,0.077846788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039738131,0,0,0.028750549,0,0,0,0,0,0,0,0,0,0,0,0,,,0.146335468,medium
Article 174,0,0,0,0,0,0,0,0,0.074906068,0.052561636,0,0,0,0,0,0.009965314,0,0,0,0,0,0,0,0,0.01146666,0,0,0.009859906,0.012497962,0,0.008023481,0,0,0,,,0.24659175,medium
Article 175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002155784,0,0,0,0,0,0,0,0,0,0,0,0.002132981,0.005407337,0,0,0,0,0,,,0.016260628,low
Article 176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002747317,0,0,0,0,0,0,0,0,0,0,0,0.007010385,0,0,0,0,0,0,,,0.085908307,low
Article 177,0,0,0,0,0,0,0,0,0.006149217,0,0,0,0,0,0,0.01740746,0,0,0,0,0,0,0,0,0,0,0,0.014773565,0,0,0.005161856,0,0,0.047315928,,,0.187012134,medium
Article 178,0,0.069642277,0,0.079417004,0.013795649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020473652,0,0.01054117,0,0,0,0,0,,,0.193869752,medium
Article 179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022174654,0,0,0,0,0.015012206,0,0,0,0,0,0,0.019082549,0,0,0,0,0,0,,,0.160614809,medium
Article 180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011446331,0,0,0,0,0,0,0,0,0,0.026489854,0,0.011325257,0,0,0,0,0,0,,,0.217482311,medium
Article 181,0,0,0,0.019981374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08159848,0,0,0,0,0,0,0,0.01030237,0,0.012416608,0.029989657,0,0,0.007607904,0,,7,7.219622243,high
Article 182,0,0,0.006546163,0,0,0,0,0,0,0,0,0,0,0,0,0.009149556,0,0,0,0,0,0.046158591,0,0,0,0,0,0.00305301,0,0,0,0,0,0,,,0.760466204,medium
Article 183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,12,high
Article 184,0.002605288,0,0,0,0.242211377,0,0,0,0.026221913,0,0,0,0,0,0,0.004241946,0,0.004589563,0,0.082783415,0.095048298,0,0,0,0.007864381,0.027680245,0,0.002535897,0,0,0.02201154,0,0,0,,,0.628487226,medium
Article 185,0.009159226,0,0,0,0.019948742,0,0,0,0,0,0,0,0,0,0.046025053,0.023714624,0,0,0,0,0,0.015633706,0,0,0.013824121,0,0,0.005943515,0,0,0,0,0.008058722,0,,,0.583953037,medium
